state_index,state_key,stage,open_count,bonus_status,upper_total,upper_pace_gap,yahtzee_status,ones,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,small_straight,large_straight,yahtzee,chance
0,255,Midgame,8,On Pace,0,0,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,30,40,0,20
1,1535,Opening,10,On Pace,0,0,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,OPEN,0,21
2,1791,Opening,10,On Pace,0,0,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN,OPEN,0,23
3,2047,Opening,11,On Pace,0,0,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,23
4,2048,True Endgame,1,Dead,0,-63,Open,0,0,0,0,0,0,0,0,25,30,0,OPEN,20
5,2303,Midgame,9,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,30,40,OPEN,24
6,3071,Opening,11,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,40,OPEN,21
7,3327,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,30,OPEN,OPEN,24
8,3647,Midgame,9,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,24,0,25,OPEN,OPEN,OPEN,25
9,3775,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,22,OPEN,25,OPEN,OPEN,OPEN,24
10,3839,Opening,11,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,OPEN,24
11,3903,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,20,0,OPEN,OPEN,OPEN,OPEN,22
12,3967,Opening,11,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN,OPEN,OPEN,OPEN,23
13,4095,Opening,12,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,22
14,4863,Opening,10,On Pace,0,0,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,OPEN,40,0,OPEN
15,5823,Opening,10,On Pace,0,0,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,20,OPEN,25,OPEN,OPEN,0,OPEN
16,6039,Midgame,9,Dead,0,-30,Zeroed,OPEN,OPEN,OPEN,0,OPEN,0,26,OPEN,OPEN,OPEN,OPEN,0,OPEN
17,6087,Midgame,9,Dead,0,-45,Zeroed,OPEN,OPEN,OPEN,0,0,0,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
18,6141,Opening,11,Under Pressure,0,-6,Zeroed,OPEN,0,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
19,6207,Midgame,8,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,0,0,30,40,OPEN,OPEN
20,6399,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,30,40,OPEN,OPEN
21,6591,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,21,OPEN,OPEN,30,40,OPEN,OPEN
22,6655,Opening,11,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,40,OPEN,OPEN
23,7167,Opening,12,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,40,OPEN,OPEN
24,7295,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,25,30,OPEN,OPEN,OPEN
25,7487,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,0,OPEN,30,OPEN,OPEN,OPEN
26,7679,Opening,12,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,OPEN,OPEN,OPEN
27,7743,Opening,10,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,24,26,25,OPEN,OPEN,OPEN,OPEN
28,7871,Opening,11,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,21,OPEN,25,OPEN,OPEN,OPEN,OPEN
29,7935,Opening,12,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,OPEN,OPEN
30,7999,Opening,11,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,20,0,OPEN,OPEN,OPEN,OPEN,OPEN
31,8063,Opening,12,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN,OPEN,OPEN,OPEN,OPEN
32,8127,Opening,12,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,21,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
33,8191,Opening,13,On Pace,0,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
34,17660,Midgame,7,Under Pressure,2,-7,Zeroed,2,0,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,0,OPEN,0,24
35,32766,Opening,12,On Pace,3,0,Open,3,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
36,36348,Midgame,9,Under Pressure,4,-5,Open,0,4,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,OPEN,OPEN,20
37,36860,Opening,10,Under Pressure,4,-5,Open,0,4,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,22
38,40700,Opening,10,Under Pressure,4,-5,Open,0,4,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,OPEN,OPEN
39,40844,Midgame,8,Dead,4,-38,Open,2,2,OPEN,OPEN,0,0,26,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
40,43008,True Endgame,1,Dead,5,-58,Open,3,2,0,0,0,0,27,24,0,0,40,OPEN,22
41,44058,Late Game,5,Dead,5,-25,Open,2,OPEN,3,OPEN,OPEN,0,26,20,25,30,OPEN,OPEN,21
42,54569,Midgame,6,Dead,6,-24,Zeroed,OPEN,0,6,OPEN,0,OPEN,25,24,OPEN,0,OPEN,0,OPEN
